title,content,source,published_date
FPT báo lãi quý II tăng mạnh nhờ mảng công nghệ nước ngoài,"Công ty Cổ phần FPT ghi nhận lợi nhuận sau thuế đạt 2.100 tỷ đồng trong quý II năm 2026, tăng 25% so với cùng kỳ. Mảng công nghệ nước ngoài tăng trưởng ấn tượng với doanh thu tăng 35%. FPT đang mở rộng sang các thị trường Nhật Bản và Mỹ.",cafef.vn,2026-06-10
HPG sụt giảm lợi nhuận do nhu cầu thép trong nước yếu,"Hòa Phát Group thông báo lợi nhuận quý II giảm 18% so với cùng kỳ do nhu cầu thép xây dựng trong nước sụt giảm mạnh. Giá thép thế giới cũng ở mức thấp gây áp lực lên biên lợi nhuận.",vnexpress.net,2026-06-09
VNM ký kết hợp đồng xuất khẩu lớn sang thị trường Trung Quốc,"Vinamilk vừa ký hợp đồng xuất khẩu sữa trị giá 50 triệu USD sang thị trường Trung Quốc. Đây là hợp đồng lớn nhất trong lịch sử công ty, đánh dấu bước đột phá trong chiến lược mở rộng quốc tế.",dantri.com.vn,2026-06-08
VCB công bố kế hoạch tăng vốn điều lệ lên 80.000 tỷ đồng,"Vietcombank vừa trình cổ đông thông qua kế hoạch phát hành cổ phiếu để tăng vốn điều lệ. Ngân hàng dự kiến phát hành thêm 6.5% cổ phần mới nhằm nâng cao năng lực tài chính.",cafef.vn,2026-06-07
TCB bị xử phạt vi phạm quy định về bảo mật thông tin khách hàng,"Ngân hàng Nhà nước đã ban hành quyết định xử phạt Techcombank 500 triệu đồng do vi phạm các quy định về bảo mật thông tin khách hàng. Ngân hàng đang phải khắc phục các lỗi trong hệ thống.",vnexpress.net,2026-06-06
MSN ra mắt sản phẩm thực phẩm mới phục vụ thị trường cao cấp,"Masan Group chính thức ra mắt dòng sản phẩm thực phẩm cao cấp WinEco Premium nhắm vào phân khúc người tiêu dùng trung và thượng lưu. Kế hoạch mở rộng 500 điểm bán lẻ trong năm 2026.",dantri.com.vn,2026-06-05
VIC triển khai dự án Vinhomes mới tại Hà Nội với quy mô 100 ha,"Vingroup thông báo khởi công dự án Vinhomes Ocean Park 3 quy mô 100 ha tại Hà Nội. Dự kiến cung cấp 15.000 căn hộ và biệt thự với tổng mức đầu tư 25.000 tỷ đồng.",cafef.vn,2026-06-04
GAS ghi nhận lợi nhuận tăng kỷ lục nhờ giá khí tự nhiên tăng cao,"PV Gas báo cáo lợi nhuận sau thuế quý II đạt 4.200 tỷ đồng tăng 42% so với cùng kỳ. Giá khí tự nhiên thế giới tăng cao cùng sản lượng khí khai thác ổn định là yếu tố chính.",vnexpress.net,2026-06-03
MWG thay đổi tổng giám đốc trong bối cảnh doanh thu sụt giảm,"Thế Giới Di Động thông báo bổ nhiệm tân Tổng Giám đốc sau khi người tiền nhiệm từ chức. Công ty đang đối mặt với doanh thu giảm 12% trong nửa đầu năm do sức mua tiêu dùng yếu.",cafef.vn,2026-06-02
FPT ký hợp đồng 200 triệu USD với tập đoàn công nghệ Mỹ,"FPT Software vừa ký hợp đồng cung cấp dịch vụ công nghệ trị giá 200 triệu USD trong 5 năm với một tập đoàn công nghệ lớn của Mỹ. Đây là hợp đồng đơn lẻ lớn nhất trong lịch sử FPT.",dantri.com.vn,2026-06-01
VPB báo lãi tăng mạnh nhờ hoạt động tín dụng tiêu dùng phục hồi,"VPBank ghi nhận lợi nhuận trước thuế đạt 8.500 tỷ đồng trong quý II tăng 31% so với cùng kỳ. Mảng tín dụng tiêu dùng qua FE Credit đã phục hồi tích cực.",cafef.vn,2026-05-30
HPG ký hợp đồng cung cấp thép cho dự án cao tốc Bắc-Nam,"Hòa Phát Group vừa ký hợp đồng cung cấp thép cho giai đoạn 2 của dự án đường cao tốc Bắc-Nam với giá trị hợp đồng ước tính 5.000 tỷ đồng.",vnexpress.net,2026-05-28
SAB doanh thu quý II tăng mạnh nhờ mùa hè nóng bức,"Sabeco ghi nhận doanh thu quý II đạt 9.800 tỷ đồng tăng 18% so với cùng kỳ. Thời tiết nắng nóng kéo dài và du lịch phục hồi là yếu tố giúp sản lượng bia tăng vọt.",dantri.com.vn,2026-05-26
NVL tiếp tục bị điều tra về vấn đề tài chính và phát hành trái phiếu,"Cơ quan điều tra tiếp tục làm việc với Novaland liên quan đến việc phát hành trái phiếu không đúng quy định. Công ty đang đối mặt với áp lực thanh khoản nghiêm trọng.",cafef.vn,2026-05-24
