sample_id,news_id,symbol,company,published_date,source,url,title,event_type,event_type_detail,sentiment,impact_level,affected_scope,confidence,labeling_method,reason,symbol_evidence,relation_directness,entity_tier,semantic_release_group,semantic_quality_tier,evidence_completeness_score,manual_review_priority,semantic_correctness_status,default_semantic_query_enabled
56030f8ea91666e47fa9,31f6d22c3309598b003fb74e07fc84ed,DGW,Công ty Cổ phần Thế Giới Số,2019-03-15,Vietstock,https://vietstock.vn/2019/03/2-thang-dau-2019-dgw-uoc-lai-sau-thue-tang-33-so-voi-cung-ky-737-660205.htm,"2 tháng đầu 2019, DGW ước lãi sau thuế tăng 33% so với cùng kỳ",OTHER,OTHER,NEUTRAL,LOW,STOCK_SPECIFIC,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=OTHER; symbol=DGW,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,FALLBACK_QUARANTINE,FALLBACK_NO_EVENT_DETECTED,80,MEDIUM,NOT_INDEPENDENTLY_VALIDATED,False
f190854b85cd95a1cd4f,bbf1c0c65cac5e0221c792396ea40fe1,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,2019-03-19,Vietstock,https://vietstock.vn/2019/03/pdr-se-chinh-phuc-doanh-thu-9000-ty-dong-trong-nam-2019-737-661098.htm,"PDR sẽ chinh phục doanh thu 9,000 tỷ đồng trong năm 2019",CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,HIGH,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=DIVIDEND; symbol=PDR,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True
32476644f05de326d400,b5872a9eb0dae82198071d00da417be2,HVN,Tổng Công ty Hàng không Việt Nam,2019-03-22,CafeF,https://cafef.vn/vietcombank-ban-xong-23-trieu-co-phieu-vietnam-airlines-chot-lai-cho-so-co-phieu-uu-dai-vua-mua-them-20190322152426007.chn,"Vietcombank bán xong 2,3 triệu cổ phiếu Vietnam Airlines, chốt lãi cho số cổ phiếu ưu đãi vừa mua thêm",OTHER,OTHER,NEUTRAL,LOW,STOCK_SPECIFIC,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=OTHER; symbol=HVN,TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_ENTITY_WITH_TARGET_CONTEXT,HIGH_PRECISION,FALLBACK_QUARANTINE,FALLBACK_NO_EVENT_DETECTED,80,MEDIUM,NOT_INDEPENDENTLY_VALIDATED,False
2894c1796af33cafc076,b5872a9eb0dae82198071d00da417be2,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,2019-03-22,CafeF,https://cafef.vn/vietcombank-ban-xong-23-trieu-co-phieu-vietnam-airlines-chot-lai-cho-so-co-phieu-uu-dai-vua-mua-them-20190322152426007.chn,"Vietcombank bán xong 2,3 triệu cổ phiếu Vietnam Airlines, chốt lãi cho số cổ phiếu ưu đãi vừa mua thêm",OTHER,OTHER,NEUTRAL,LOW,STOCK_SPECIFIC,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=OTHER; symbol=VCB,TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_ENTITY_WITH_TARGET_CONTEXT,HIGH_PRECISION,FALLBACK_QUARANTINE,FALLBACK_NO_EVENT_DETECTED,80,MEDIUM,NOT_INDEPENDENTLY_VALIDATED,False
4e84cf0f50da16622a4e,b0e888c180459b7abfa21d90d323a709,VNM,Công ty Cổ phần Sữa Việt Nam,2019-03-26,Vietstock,https://vietstock.vn/2019/03/vinamilk-dat-muc-tieu-doanh-thu-toi-thieu-56000-ty-dong-san-sang-ma-737-663151.htm,"Vinamilk đặt mục tiêu doanh thu tối thiểu 56,000 tỷ đồng, sẵn sàng M&A",M_AND_A,M_AND_A,NEUTRAL,HIGH,STOCK_SPECIFIC,HIGH,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_ALIAS|BODY_ALIAS|BODY_TICKER|TARGET_CONTEXT; score=17; event=M_AND_A; symbol=VNM,TITLE_ALIAS|BODY_ALIAS|BODY_TICKER|TARGET_CONTEXT,TITLE_ENTITY_WITH_TARGET_CONTEXT,HIGH_PRECISION,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True
349b5c1da392f83079f1,e9ba4653db2389427af20a08fe39ea10,NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,2019-03-26,Vietstock,https://vietstock.vn/2019/03/novaland-dong-hanh-cung-dai-hoc-phan-thiet-nang-cao-chat-luong-nguon-nhan-luc-tai-cho-735-663281.htm,Novaland đồng hành cùng Đại học Phan Thiết nâng cao chất lượng nguồn nhân lực tại chỗ,OTHER,OTHER,NEUTRAL,LOW,STOCK_SPECIFIC,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_ALIAS|BODY_ALIAS; score=11; event=OTHER; symbol=NVL,TITLE_ALIAS|BODY_ALIAS,TITLE_ENTITY_MENTION,HIGH_PRECISION,FALLBACK_QUARANTINE,FALLBACK_NO_EVENT_DETECTED,80,MEDIUM,NOT_INDEPENDENTLY_VALIDATED,False
6f84b8542d231378c470,eada8b991b784df136322da601a8cb0f,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,2019-03-26,Vietstock,https://vietstock.vn/2019/03/vpb-vo-pho-tong-bi-phat-40-trieu-dong-do-vi-pham-thoi-gian-ban-co-phieu-739-663033.htm,VPB: Vợ Phó Tổng bị phạt 40 triệu đồng do vi phạm thời gian bán cổ phiếu,LEGAL_REGULATORY,LEGAL_RISK,NEGATIVE,HIGH,STOCK_SPECIFIC,HIGH,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=LEGAL_RISK; symbol=VPB,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True
e07b9c1209623c54f656,7aad0531b892e0a7add1f8ad019a99c2,FPT,Công ty Cổ phần FPT,2019-04-01,CafeF,https://cafef.vn/khong-chi-cho-hagl-muon-hang-ngan-ty-bau-duc-con-cam-ket-co-du-kha-nang-tu-thuc-hien-toan-bo-nghia-vu-trong-vu-kien-voi-fpt-capital-20190331003816695.chn,"Không chỉ cho HAGL mượn hàng ngàn tỷ, Bầu Đức còn cam kết có đủ khả năng tự thực hiện toàn bộ nghĩa vụ trong vụ kiện với FPT Capital",LEGAL_REGULATORY,LEGAL_RISK,NEGATIVE,HIGH,STOCK_SPECIFIC,HIGH,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT; score=13; event=LEGAL_RISK; symbol=FPT,TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True
80f01b5d55b7fbaf96f8,e2638e40fe16d18eeeeed0d474f3aa44,VND,Công ty Cổ phần Chứng khoán VNDIRECT,2019-04-03,CafeF,https://cafef.vn/cii-vph-nbb-vnd-aam-idv-ctp-tar-mst-cnn-pvr-svh-thong-tin-giao-dich-luong-lon-co-phieu-20190403174340851.chn,"CII, VPH, NBB, VND, AAM, IDV, CTP, TAR, MST, CNN, PVR, SVH: Thông tin giao dịch lượng lớn cổ phiếu",OTHER,OTHER,NEUTRAL,LOW,STOCK_SPECIFIC,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=OTHER; symbol=VND,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,FALLBACK_QUARANTINE,FALLBACK_NO_EVENT_DETECTED,80,MEDIUM,NOT_INDEPENDENTLY_VALIDATED,False
873bd80eec60425e6a80,d9793ef469061aa179270b198119ac7c,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,2019-04-04,CafeF,https://cafef.vn/bds-phat-dat-pdr-thong-qua-phuong-an-phat-hanh-hon-61-trieu-co-phieu-tra-co-tuc-2019040317294296.chn,BĐS Phát Đạt (PDR) thông qua phương án phát hành hơn 61 triệu cổ phiếu trả cổ tức,CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,HIGH,WEAK_RULE_V3_ENTITY_TIERED,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=24; event=DIVIDEND; symbol=PDR,TITLE_TICKER|TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,TITLE_TICKER_WITH_TARGET_CONTEXT,HIGH_PRECISION,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True
